s.no,Headline,Target
132,"Were Hedge Funds Illusioned With Lamb Weston Holdings, Inc. (LW)?",0
133,Dow Jones Dives As Stock Market Correction Worsens; Bitcoin Tumbles And Yields Climb,0
134,Russia Dodges Default for Now as Investors Get Dollar Funds,0
135,Market strategist: 'We are in an extreme whoosh' and should act accordingly,0
136,"Cisco revenue falls amid supply shortages, stock dips",0
137,Akamai stock falls 10% after mixed Q1 earnings,0
138,Walgreens Stock Slides As Group Scraps Plan to Sell UK-based Boots,0
139,UPDATE 3-Texas attorney general opens investigation into Walmart's opioid sales,0
140,Littlejohn & Co. Announces Sale of Kaman Distribution Group for $1.3 Billion,0
141,"Stocks slide to close worst first half in 52 years: S&P 500 plunges 20.6% YTD, 8.4% in June",0
142,"Stocks Making the Biggest Moves Today: NIO Sinks, Tesla Slips, Carnival Slumps",0
143,Abortion: How corporate America is responding to the Supreme Court ruling,0
144,The market is basically forecasting stagflation: Strategist,0
145,Kinder Morgan pipeline JV files for Chapter 11 bankruptcy with at least $500M in debt,0
146,Bearish Bets: 3 Slumping Stocks You Should Consider Shorting This Week,0
147,Gorillas Startup Dream of Food Delivery and Office Raves Falters,0
148,Campbell Soup Missed Expectations for Quarterly Revenue,0
149,Analysts Estimate Tapestry (TPR) to Report a Decline in Earnings: What to Look Out for,0
150,Archer Daniels Midland (ADM) Stock Moves -1.53%: What You Should Know,0
151,Market is not liking Xerox Holdings' (NASDAQ:XRX) earnings decline as stock retreats 15% this week,0
152,"PAR Technology (PAR) Reports Q1 Loss, Tops Revenue Estimates",0
153,Exelon Corporation Declares Dividend,0
154,National Oilwell Varco's(NYSE:NOV) Share Price Is Down 63% Over The Past Five Years.,0
155,Stock Market Today: Netflix's Epic Crash Clips Nasdaq,0
156,Ameriprise (AMP) Down 4.7% Since Last Earnings Report: Can It Rebound?,0
157,"Regions Financial (RF) Q1 Earnings Beat, Revenues Fall Y/Y",0
158,The holes in holistic ESG indices,0
159,CHIPOTLE TESTS GARLIC GUAJILLO STEAK IN SELECT MARKETS,0
160,"Clovis (CLVS) Q1 Loss Wider than Expected, Revenues Miss",0
161,"Local tech companies join others in halting sales, services in Russia",0
162,"HP Enterprise Shares Slide as China, Russia, and Currency Take a Toll",0
163,Zoom Projects Sales That Miss Estimates on Slowing Growth,0
164,Dollar General (DG) Stock Moves -0.94%: What You Should Know,0
165,"Domino's Pizza franchise projection falls short of analyst expectations, driving downgrade",0
166,"US STOCKS-Wall Street ends sharply lower, Nasdaq tumbles",0
167,"Cisco, Nike quit Russia, as pace of Western firms leaving speeds up",0
168,"Raymond James Financial, Inc. (RJF) Tops Q1 Earnings and Revenue Estimates",0
169,"Wall Street Opens Lower, Hurt by Rising Bond Yields; Dow Down 280 Pts",0
170,"T-Mobile Celebrates Military Appreciation Month, Part 2: The Military Spouse",0
171,Hewlett Packard Enterprise (HPE) Stock Moves -1.21%: What You Should Know,0
172,"Northrop Grumman's (NOC) Q1 Earnings Top, Sales Decline Y/Y",0
173,"Tractor Supply (TSCO) Soars to 52-Week High, Time to Cash Out?",0
174,Applied Materials (AMAT) Q2 Earnings and Revenues Miss Estimates,0
175,Earnings Preview: Perrigo (PRGO) Q1 Earnings Expected to Decline,0
176,W.w. Grainger Inc (GWW) Chairman and CEO Donald G Macpherson Sold $7.7 million of Shares,0
177,"Even insured Americans lack funds for out-of-pocket medical costs, new Aflac Care Index shows",0
178,"Dow Jones Futures Fall As Market Rally Weakens; Tesla Shanghai Tries To Reopen, Twitter Pops",0
179,Expeditors Targeted in Cyber-attack,0
180,Why Is Fidelity National (FIS) Down 5% Since Last Earnings Report?,0
181,Walgreens shelves Boots sale as market turmoil hits deal financing,0
182,"Meta Platforms, Spotify, Biogen Fall Premarket; T-Mobile Rises",0
183,"Mainstay Vp Funds Trust Buys Cigna Corp, Dominion Energy Inc, Siemens AG, Sells PNC Financial ...",0
184,"Roper (ROP) Gains From End-Market Strength, Risks Persist",0
185,Another Sign the Chip Shortage Isnt Getting Better,0
186,Dow Jones Futures Fall After 'Ideal' Market Action; Inflation Report Due,0
187,Paycom (PAYC) Down 17.6% Since Last Earnings Report: Can It Rebound?,0
188,Comcast (CMCSA) Stock Sinks As Market Gains: What You Should Know,0
189,3 Worst-Performing Tech Funds Amid Ongoing Market Turmoil,0
190,Why AMD and Nvidia Were Down Big on Tuesday,0
191,American Airlines (AAL) Stock Sinks As Market Gains: What You Should Know,0
192,AT&T stock vs. the S&P 500: How the dividend-payer has performed year to date,0
193,Colgate-Palmolive struggles to price its way out of inflation,0
194,Why Broadridge Financial Dropped 12.9% in January,0
195,"Finland, Sweden Closer to Joining NATO With Turkey Deal",0
196,Cummins (CMI) Stock Sinks As Market Gains: What You Should Know,0
197,Why ServiceNow Stock Slipped 14% in April,0
198,"Mortgage rates: People are really getting sticker shock, housing expert says",0
199,Best Buy (BBY) Misses Q1 Earnings Estimates,0
200,"Cooper Companies (COO) Q2 Earnings Miss Estimates, Revenues Top",0
201,Ulta apologizes for Kate Spade email that mistakenly referenced the designers death,0
202,"Stock Market Rally Falls As Fed Signals More Big Rate Hikes; Salesforce, Tesla In Focus: Weekly Review",0
203,Will Segment Sales Hurt General Dynamics' (GD) Q1 Earnings?,0
204,"IPG Photonics Shares Plunge On Q2 Earnings Miss, Weak Q3 Outlook",0
205,PTC stock falls after large shareholder Rockwell Automation discloses plan to sell,0
206,60% of CEOs expect recession by 2023: Conference Board,0
207,"Best Buy's (BBY) Q1 Earnings Miss, Comparable Sales Fall 8%",0
208,UPDATE 2-GTA publisher Take-Two signals drop in demand from pandemic highs,0
209,Why Citizens Bank has been so aggressive in relocating branches in Philadelphia and beyond,0
210,Peninsula biotech breaks off hepatitis B deal after partner's drug falters,0
211,Gap (GPS) Flat As Market Gains: What You Should Know,0
212,Netflix Lays Off About 3% of Workforce in New Round of Cuts,0
213,"Applied Materials misses earnings estimates, Ross Stores cuts full-year earnings forecast",0
214,Is It Time to Buy Kroger After the Dip?,0
215,Waste Management (WM) Stock Moves -1.19%: What You Should Know,0
216,PPL Corporation's (NYSE:PPL) Stock Been Rising But Financials Look Weak: Should Shareholders Be Worried?,0
217,TE Connectivity Posts Strong Earnings but It Cant Avoid Supply Chain Woes,0
218,Adobe Stock Falls as Guidance Fuels Analysts Short-Term Concerns,0
219,"Lululemon has this big problem on its hands, analyst says",0
220,Oracle Women Suing Over Pay Bias Poised for Major Setback,0
221,"Western Digital (WDC) Loses 7 EB of Flash Output, Cuts Q3 View",0
222,"Rollins, Inc. Investigated by Block & Leviton For Potential Securities Law Violations; Investors Who Have Lost Money Are Encouraged to Contact the Firm",0
223,"Baby formula issues reportedly known earlier, Meta halts smart watch plans, executives urge gun control",0
224,Autodesk (ADSK) Stock Sinks As Market Gains: What You Should Know,0
225,Rockwell Automation (ROK) Q2 Earnings & Sales Miss Estimates,0
226,Why restaurant workers don't want to come back,0
227,Sherwin-Williams (SHW) Down 5.1% Since Last Earnings Report: Can It Rebound?,0
228,10 Stocks Getting Hammered on Friday,0
229,New Strong Sell Stocks for February 11th,0
230,"Market check: Financial, tech, travel stocks under pressure",0
231,Taco Bell Brings Back a Classic Menu Item,0
232,RPT- FOCUS-$10 toothpaste? U.S. household goods makers face blowback on price hikes,0
233,"U.S. Energy Secretary unsure if Michigan, California nuclear plants will seek subsidies",0
234,Fed Lifts Rates a Quarter Point and Signals More Hikes to Come,0
235,Tesla and Nvidia Fall as Ukraine and Russia Trade Ceasefire Violations Accusations,0
236,Air Force One: how Boeings prestige project became its albatross,0
237,Tariff Fight Paralyzing US Solar Threatens American Steelmakers,0
238,Why Home Depot stock just got hammered,0
239,"NVR, Inc. (NYSE:NVR) Shares Could Be 39% Below Their Intrinsic Value Estimate",0
240,U.S. retail sales rise 0.5% in March amid rampant inflation,0
241,"Dow Jones Futures Dive, Yields Hit Multiyear Highs As Stagflation Risks Grow",0
242,Tapestry (TPR) Stock Moves -1.44%: What You Should Know,0
243,"Deere (DE) Earnings Beat Estimates in Q2, Hikes '22 View",0
244,Estee Lauder Stock Sinks on Cut to Full-Year Guidance,0
245,Dominos Pizza Stock Has Dropped 28% This Year. Why This Analyst Is Raising Concerns.,0
246,"Colombia Election Puts Economic Model, US Relations at Stake",0
247,Dow Jones Futures Fall After Market Rally Flashes Very Bearish Signal; 5 Stocks To Watch,0
248,5 Reasons Why Investors Should Steer Clear of AZUL Stock Now,0
249,Take-Twos Hangar 13 Cuts Staff After Canceling a Major Game,0
250,Analysts Estimate AES (AES) to Report a Decline in Earnings: What to Look Out for,0
251,Equifax (EFX) Down 5.8% Since Last Earnings Report: Can It Rebound?,0
252,"Alico (ALCO) Reports Q1 Loss, Tops Revenue Estimates",0
253,Major U.S. retailers limit infant formula purchases on shortage,0
254,Estée Lauder Executive John Demsey Apologizes After Posting Meme on Instagram,0
255,"Marketing Budgets are Growing This Year, But Now Cuts Are on the Table",0
256,Why Is DXC Technology Company. (DXC) Down 9.7% Since Last Earnings Report?,0
257,Was The Smart Money Right About Comerica Incorporated (CMA)?,0
258,"Arconic loss narrows and revenue rises above expectations, while gross margin falls as costs jump",0
259,East West Bancorp (EWBC) Stock Down 1.2% as Q4 Earnings Lag,0
260,Colgate-Palmolive shares slide premarket as company says difficult cost environment to continue to weigh on profit,0
261,"Dow Jones Dives, Treasury Yields Surge To New Highs; Bitcoin Crashes Below $24,000",0
262,Why Ciscos Earnings Are Causing Networking Stocks Juniper and Broadcom to Sink,0
263,Chinas Market Meltdown Has Traders Rushing to Buy Protection,0
264,New Strong Sell Stocks for February 15th,0
265,"Netflix to lay off 300 workers, BofA slashes price target on the stock",0
266,"Sherwin-Williams quarterly results, full-year earnings guidance miss expectations",0
267,CEO-Bonus Scrutiny Grows as Millions Paid Out Even in Down Years,0
268,McKesson (MCK) Lags Q4 Earnings Estimates,0
269,"Leidos lowers revenue guidance on supply-chain issues, budget picture",0
270,Why Is CF (CF) Down 2.8% Since Last Earnings Report?,0
271,PulteGroup (PHM) Stock Moves -0.75%: What You Should Know,0
272,Wells Fargo offers travel benefits for abortions to employees,0
273,"WRAPUP 1-Cisco, Nike quit Russia, as pace of Western firms leaving speeds up",0
274,"Thailand Steps Up Inflation Fight With Subsidies, Price Caps",0
275,Calming Words for Investors in the Most Recent Bear Market,0
276,AT&T Braces For Possible Price Hike Citing Inflation Woes Shortly After Verizon,0
277,Electronic Arts In Trouble As Activists Bring Gambling Charges Against 'FIFA: Ultimate Team',0
278,Can Netflix Ever Recover?,0
279,Fox (FOXA) Misses Q3 Earnings Estimates,0
280,Why Tractor Supply Company Declined 13.7% in April,0
281,Cboe Global Markets Declares Second-Quarter 2022 Dividend,0
282,Movie studios look to cut production amid supply chain woes,0
283,UPDATE 1-Arconic looks to sell Russian operations,0
284,Why Is Roper Technologies (ROP) Down 2.5% Since Last Earnings Report?,0
285,Micron forecasts fourth-quarter profit below estimates,0
286,Deere's Profits Double. Investors Sell.,0
287,Why Nucor Stock Gave Back Its Gains Today,0
288,Four Companies That Pay CEOs 'Peanuts' Don't Make Investors Richer,0
289,The FDA Just Banned Juul. What It Means for Altria.,0
290,"HPE earnings fall short amid inflation, supply chain challenges",0
291,Is Ralph Lauren (NYSE:RL) Using Too Much Debt?,0
292,"Invesco (IVZ) April AUM Down on Unfavorable Market, Outflows",0
293,Hedge Funds Are Cashing Out Of Flowserve Corporation (FLS),0
294,"Virgin Cruise Line Has Bad News for Royal Caribbean, Carnival",0
295,Is Medtronic a Buy?,0
296,Shares of Whirlpool Are Spinning Round and Round,0
297,Analysts Estimate Travelers (TRV) to Report a Decline in Earnings: What to Look Out for,0
298,"US Inflation Quickens to 40-Year High, Pressuring Fed and Biden",0
299,US STOCKS-Wall St slips after Target's margin warning; inflation data eyed,0
300,Leidos (LDOS) Misses Q4 Earnings and Revenue Estimates,0
301,Why Is Las Vegas Sands (LVS) Down 4.2% Since Last Earnings Report?,0
302,ConocoPhillips (COP) Stock Moves -0.69%: What You Should Know,0
303,8.4% earnings growth over 1 year has not materialized into gains for Bank of New York Mellon (NYSE:BK) shareholders over that period,0
304,Housing: 30-year mortgage rates march toward 6%,0
305,"Lazard Freres Gestion S.A.S. Buys Procter & Gamble Co, Zoetis Inc, 3M Co, Sells Linde PLC, ...",0
306,American Tower Corporation Declares Quarterly Distribution,0
307,Eversource (ES) Down 2.5% Since Last Earnings Report: Can It Rebound?,0
308,Returns On Capital Signal Tricky Times Ahead For Church & Dwight (NYSE:CHD),0
309,NortonLifeLock delays completion of deal for Avast,0
310,Why Is Whirlpool (WHR) Down 0.8% Since Last Earnings Report?,0
311,"Inflation, War, And COVID Drag On Global Credit Conditions, Report Says",0
312,"Is Waste Management, Inc. (NYSE:WM) A High Quality Stock To Own?",0
313,Analysts forecast U.S. vehicle shortages as supply chain woes persist,0
314,V.F. Corporation (NYSE:VFC) Shares Could Be 50% Below Their Intrinsic Value Estimate,0
315,IBM (IBM) Stock Moves -0.31%: What You Should Know,0
316,Fulton Financial (FULT) to Scrap NSF Fees for Consumer Accounts,0
317,UPDATE 3-Tasty name but no Big Mac as rebranded McDonald's restaurants open in Russia,0
318,Bear Of The Day: Autodesk (ADSK),0
319,Akzo Nobel Shares Slump After CEO Departure Announced,0
320,Weyerhaeuser (WY) Dips More Than Broader Markets: What You Should Know,0
321,"Down 29.7% in 4 Weeks, Here's Why You Should You Buy the Dip in Nucor (NUE)",0
322,Wells Fargo's 13-story S.F. office tower has hit the market,0
323,Ruling in Grayscale-U.S. SEC lawsuit likely within a year - CEO,0
324,HUNTINGTON BANCSHARES INCORPORATED DECLARES QUARTERLY CASH DIVIDENDS ON ITS COMMON AND PREFERRED STOCKS,0
325,Why Dollar General Stock Was Sliding Today,0
326,MSCI pulls uninvestable Russian stocks from emerging markets indices,0
327,Arconic (ARNC) Lags Q4 Earnings Estimates,0
328,A visual guide to the corporate risks exposed by the SECs new climate rule,0
329,Putin Is Pushing Germanys Economy to the Breaking Point,0
330,Why IPG Photonics Stock Tanked Today,0
331,"Stock Market Today: Dow Sinks 1,164 Points in Worst Day Since June 2020",0
332,State Street Corporation (STT) Down 0.6% Since Last Earnings Report: Can It Rebound?,0
333,Geopolitical Shifts Are Exacerbating Credit Risks,0
334,Carnival Cruise Line Crew Shortage Leads to Cancellations,0
335,"Stocks accelerate losses into the close, all 11 sectors of S&P 500 in the red",0
336,"Take-Two Tops Earnings Estimates, But Gives Tepid Forecast",0
337,"Under Armour, Inc. (NYSE:UAA) Shares Could Be 35% Below Their Intrinsic Value Estimate",0
338,"Conagra Brands CFO details steep inflation, supply chains, and worker absenteeism due to COVID-19",0
339,Whirlpool slashes demand outlook in earnings report,0
340,Vulcan (VMC) Down 4.9% Since Last Earnings Report: Can It Rebound?,0
341,Bearish Bets: 3 Stocks You Should Consider Shorting This Week,0
342,"Chinese fast fashion brand SHEIN is 'increasing threat to U.S. specialty retailers,' UBS says",0
343,UPDATE 4-Lennar flags cooling home demand as hotter interest rates spook buyers,0
344,Restaurant costs have increased tremendously amid inflation: Wolfgang Puck,0
345,National Instruments (NATI) Misses Q1 Earnings and Revenue Estimates,0
346,Hormel Foods Corporation Declares Quarterly Dividend,0
347,"Universal Health stock tumbles after profit warning, given 'shortfall' in patient volumes",0
348,"Stock Market Extends Losses On Jobs Reports, Rising Yields; Materials, Real Estate Add To Woes",0
349,"Paychex CEO sees no sign of recession yet, but sales growth expected to slow",0
350,Its not just Gen Z. A tiny generation of young workers is especially miserable at work,0
351,"Western Union: Price Down, Dividend Yield Up",0
352,Entergy (ETR) Misses Q1 Earnings Estimates,0
353,Should You Buy the S&P 500's 5 Worst-Performing 2022 Stocks?,0
354,"PGIM Closed-End Funds declare distributions for March, April and May 2022",0
355,"Inflation: Cruise lines facing 'some pushback on pricing,' analyst says",0
356,Heres Why Aristotle Capital Exited its Johnson Controls (JCI) Position,0
357,Wall Street brokers question FTX futures trading plan,0
358,TechnipFMC (FTI) to Sell Off 5% Stake in Technip Energies,0
359,Why Stanley Black & Decker Shares Are Trading Lower Today,0
360,Rockwell Automation stock slides after semiconductor shortage hurts results,0
361,What's Next for Micron Stock Down Over 40% Ahead of Earnings?,0
362,Analysts Estimate Waters (WAT) to Report a Decline in Earnings: What to Look Out for,0
363,Why Is Roper Technologies (ROP) Down 10.3% Since Last Earnings Report?,0
364,Theres something devilish about Diablo Immortals business model,0
365,Earnings Preview: Xylem (XYL) Q4 Earnings Expected to Decline,0
366,"Fox News reporter injured, hospitalized in Ukraine",0
367,"Market check: Energy outperforms, Big Tech stocks slide",0
368,Here's why Outdoor Retailer is choosing Salt Lake City over Denver,0
369,Wells Fargo economist likens crypto collapse to the dot-com bust,0
370,Buy now pay later shoppers risk debt spiral,0
371,Lockheed Martin (LMT) Stock Moves -0.58%: What You Should Know,0
372,UPDATE 1-CoverGirl owner Coty to exit Russia operations,0
373,Global Payments (GPN) Stock Moves -1.05%: What You Should Know,0
374,Aon (AON) Q1 Earnings and Revenues Miss Estimates,0
375,Darden (DRI) Banks on Off-Premise Business Amid High Costs,0
376,Why Is American Water Works (AWK) Down 7.4% Since Last Earnings Report?,0
377,"UPDATE 3-Game over: EA, FIFA part ways after decades-long partnership",0
378,Tasty name but no Big Mac: Russia opens rebranded McDonald's restaurants,0
379,"Rollins' (ROL) Acquisitions Aid, Rising Expenses Ail",0
380,Is it Time to Consider Selling Your DR Horton (DHI) Position?,0
381,Qorvo Is Still Searching for a Bottom,0
382,Kohl's activist investor rips 'alarming' behavior by company,0
383,Top Hedge Funds are Selling These 10 Stocks,0
384,Arcelor Mittal Breaks Trend Line,0
385,Allegion (ALLE) Down 30.3% in a Year: What's Hurting it?,0
386,"Paccar to pay out extra dividend of $1.50 a share, effectively boosting implied yield to above 3%",0
387,Why Goldman is still very cautious on the stock market,0
388,"BankUnited, Inc. (BKU) Misses Q1 Earnings and Revenue Estimates",0
389,Worst 1H Since 1970 Ends Trading Day in the Red,0
390,"Assenagon Asset Management S.A. Buys Apple Inc, Microsoft Corp, Tesla Inc, Sells Amazon. ...",0
391,"Smith Micro Software, Inc. (SMSI) Reports Q1 Loss, Tops Revenue Estimates",0
392,Nielsen Ratings rejects $9 billion takeover offer,0
393,"Down 23.2% in 4 Weeks, Here's Why You Should You Buy the Dip in Prologis (PLD)",0
394,"Economic Growth Forecasts Lowered On Longer Russia-Ukraine Conflict And Rising Inflation, Article Says",0
395,Xcel Energy exploring shutting down its biggest Colorado coal plant earlier,0
396,US STOCKS-Nasdaq narrowly misses worst January ever as Wall Street gains,0
