Text,Speaker,Episode,Season,Show
" I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Cookie?,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 (EXPLAINING TO THE OTHERS) Carol moved her stuff out today. (TO ROSS) Let me get you some coffee.,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Ooh! Oh! (STARTS TO PLUCK AT THE AIR JUST IN FRONT OF ROSS),PHOEBE,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay? I'll be fine, alright? Really, everyone. I hope she'll be very happy.",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 No you don't.,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" No I don't, to hell with her, she left me!",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 And you never knew she was a lesbian...,JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Sometimes I wish I was a lesbian... (THE OTHERS STARE AT HIM) Did I say that out loud?,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(ROSS GESTURES HIS CONSENT),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Strip joint! C'mon, you're single! Have some hormones!",JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" I don't want to be single, okay? I just... I just- I just wanna be married again!",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(ENTER RACHEL IN A WET WEDDING DRESS. SHE STARTS TO SEARCH AROUND THE ROOM),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 And I just want a million dollars! (EXTENDS HIS HAND HOPEFULLY),CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Rachel?!,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Oh God Monica hi! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Can I get you some coffee?,WAITRESS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (POINTING AT RACHEL) De-caff. (TO THE GANG) Okay, everybody, this is Rachel, another Lincoln High survivor. (TO RACHEL) This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross? ",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Hi, sure!",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Hi. ,ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
"(THEY GO TO HUG BUT ROSS' UMBRELLA OPENS. HE SITS, DEFEATED AGAIN)",,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(A MOMENT OF SILENCE AS RACHEL SITS; THE OTHERS EXPECT HER TO EXPLAIN),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" So you wanna tell us now, or are we waiting for four wet bridesmaids?",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- (TO WAITRESS, WHO HAS BROUGHT HER COFFEE)Sweet 'n' Lo?- I realised that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, he always looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. (TO MONICA) So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Who wasn't invited to the wedding.,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Ooh, I was kinda hoping that wouldn't be an issue...",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 MONICA'S APARTMENT (ALL PRESENT AND WATCHING A SPANISH SOAP ON TV),SCENE 2,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it. ",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (ON PHONE) Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me! ",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (RE TV) Ooh, she should not be wearing those pants.",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 I say push her down the stairs.,JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Push her down the stairs! Push her down the stairs! Push her down the stairs! (SHE IS PUSHED DOWN THE STAIRS. THEY CHEER),PHOEBE+ROSS+CHANDLER+JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" C'mon Daddy, listen to me! All of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 You can see where he'd have trouble.,ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Look Daddy, it's my life. Well maybe I'll just stay here with Monica. ",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Well, I guess we've established who's staying here with Monica...",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(CUT TO SAME SET. RACHEL IS BREATHING INTO A PAPER BAG) ,,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Just breathe, breathe.. that's it. Just try to think of nice calm things...",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (SINGS) Raindrops on roses and rabbits and kittens, (RACHEL AND MONICA TURN TO LOOK AT HER)..bluebells and sleighbells and- something with mittens... La la la la...",PHOEBE,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 I'm all better now.,RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 (GRINS AND WALKS TO KITCHEN. TO CHANDLER AND JOEY) I helped!,PHOEBE,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Okay, look, this is probably for the best, y'know? Independence. Taking control of your life.",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (SITTING BESIDE HER) And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.",JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Joey, stop hitting on her! It's her wedding day!",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" What, like there's a rule or something?",JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(THE DOOR BUZZER SOUNDS. CHANDLER GETS IT),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Please don't do that again, it's a horrible sound.",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (OVER INTERCOM) It's, uh, it's Paul.",PAUL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Buzz him in!,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Who's Paul?,JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Paul the Wine Guy, Paul?",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Maybe.,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Wait. Your 'not a real date' tonight is with Paul the Wine Guy?,JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 He finally asked you out?,ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Yes!,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Ooh, this is a Dear Diary moment.",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Rach, wait, I can cancel...",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Please, no, go, that'd be fine!",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (TO ROSS) Are, are you okay? I mean, do you want me to stay?",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 (CHOKED VOICE) That'd be good...,ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 (HORRIFIED) Really?,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (NORMAL VOICE) No, go on! It's Paul the Wine Guy!",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(A KNOCK AT THE DOOR. MONICA GETS IT; IT'S PAUL),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Hi, come in! Paul, this is.. (THEY ARE ALL LINED UP NEXT TO THE DOOR)... everybody, everybody, this is Paul.",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Hey! Paul! Hi! The Wine Guy! Hey!,ALL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" I'm sorry, I didn't catch your name. Paul, was it?",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 (SHOWS PAUL IN) Two seconds.,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Ooh, I just pulled out four eyelashes. That can't be good.",PHOEBE,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" So Rachel, what're you, uh... what're you up to tonight?",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- (THINKS) -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (DEADPAN) Yes, and we're very excited about it. ",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Well actually thanks, but I think I'm just gonna hang out here tonight..",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Okay, sure.",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Hey Pheebs, you wanna help?",JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Oh, I wish I could, but I don't want to.",PHOEBE,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(AD BREAK),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 ROSS' APARTMENT (THE GUYS ARE ASSEMBLING FURNITURE),SCENE 3,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (SQUATTING AND READING INSTRUCTIONS) I'm supposed to attach a brackety thing to the side things, using a bunch of these little whim guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
"(CHANDLER AND JOEY HAVE APPARENTLY FINISHED A BOOKCASE, BUT THERE IS A BIT LEFT OVER)",,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 What's this?,JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 I have no idea.,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(JOEY CHECKS ROSS IS NOT LOOKING AND DUMPS IN IN A PLANT POT),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Done with the bookcase!,JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 All finished!,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (CLUTCHING A BEER CAN AND SNIFFING) This was Carol's favourite beer. She always drank it out of the can, I should have known.",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 You guys.,ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Oh, man.",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 You got screwed.,JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(CUT TO MONICA AND PAUL EATING IN A RESTAURANT),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Oh my God!,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",PAUL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" My brother's going through that right now, he's such a mess. How did you get through it?",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Well, you might try accidentally breaking something valuable of hers, say her-",PAUL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 -leg?,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (LAUGHING) That's one way! Me, I- I went for the watch.",PAUL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 You actually broke her watch?,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
"(CUT TO RACHEL IN MONICA'S APARTMENT, TALKING ON THE PHONE AND PACING)",,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- (STOPS TALKING; DIALS A NUMBER ON THE PHONE) Hi, machine cut me off again... anyway...",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(CUT TO ROSS' APARTMENT) ,,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" What are you talking about? 'One woman'? That's like saying there's only one flavour of ice cream for you. Lemme tell you something, Ross. There's lots of flavours out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 I honestly don't know if I'm hungry or horny.,ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Stay out of my freezer!,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(CUT TO THE RESTAURANT),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Ever since she walked out on me, I, uh...",PAUL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" What?..... What, you wanna spell it out with noodles?",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" No, it's, it's more of a fifth date kinda revelation.",PAUL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Oh, so there is gonna be a fifth date?",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Isn't there?,PAUL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Yeah... yeah, I think there is. -What were you gonna say?",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. (MONICA TAKES A SIP OF HER DRINK) ...Sexually. ",PAUL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (SPITS OUT HER DRINK IN SHOCK) Oh God, oh God, I am sorry... I am so sorry...",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 It's okay...,PAUL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Being spit on is probably not what you need right now. Um... how long?,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Two years.,PAUL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Wow! I'm glad you smashed her watch! ,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" So you still think you, um... might want that fifth date?",PAUL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (PAUSE)...Yeah. Yeah, I do.",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(CUT TO RACHEL WATCHING 'JOANIE LOVES CHACHI'),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" 'I, Joanie, take you, Charles, to be my lawful husband.' 'Do you take...'",TV,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Oh...see... but Joanie loved Chachi! That's the difference!,RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(CUT TO ROSS'),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (SCORNFUL) Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you? Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask? (GAZES OUT OF THE WINDOW)",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(CUT TO RACHEL STARING OUT OF HER WINDOW),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 MONICA + RACHEL'S APARTMENT. RACHEL IS MAKING COFFEE FOR JOEY AND CHANDLER),SCENE 4,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Isn't this amazing? I mean, I have never made coffee before in my entire life.",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 That is amazing.,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Congratulations. And while you're on a roll, if you feel like you gotta make like a Western omelette or something... (JOEY AND CHANDLER TASTE THE COFFEE, GRIMACE, AND POUR IT INTO A PLANT POT) Although actually I'm really not that hungry...",JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(ENTER MONICA FROM HER ROOM),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Morning. Good morning.,ALL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(ENTER PAUL FROM MONICA'S ROOM) ,,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Morning.,PAUL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Morning, Paul.",JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Hello, Paul.",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Hi, Paul, is it?",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(MONICA AND PAUL WALK TO THE DOOR AND TALK IN A LOW VOICE SO THE OTHERS CAN'T HEAR. THE OTHERS SHUNT MONICA'S TABLE CLOSER TO TO THE DOOR SO THEY CAN),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 I had a really great time last night.,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Thank you. Thank you so much. ,PAUL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 We'll talk later.,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Yeah. (THEY KISS) Thank you. (EXIT PAUL),PAUL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 That wasn't a real date?! What the hell do you do on a real date?,JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Shut up, and put my table back.",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Okayyy! (THEY DO),ALL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference... ",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" So, like, you guys all have jobs?",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Yeah, we all have jobs. See, that's how we buy stuff.",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Yeah, I'm an actor.",JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Wow! Would I have seen you in anything?,RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 I doubt it. Mostly regional work.,JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio.",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" 'Look, Gippetto, I'm a real live boy.'",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 I will not take this abuse. (WALKS TO DOOR AND OPENS IT TO LEAVE),JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" You're right, I'm sorry. (BURSTS INTO SONG AND DANCES OUT OF THE DOOR) 'Once I was a wooden boy, a little wooden boy..'",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(EXIT JOEY AND CHANDLER),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.,MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 I can see that. You look like you slept with a hanger in your mouth.,RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" I know, he's just so, so... Do you remember you and Tony DeMarco?",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Oh, yeah.",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Well, it's like that. With feelings.",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Oh wow. Are you in trouble.,RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
